epoch;start_time;end_time;data;data_start_index;train_loss;train_loss_policy;train_loss_value;train_accuracy_policy;train_accuracy_value;validation_loss;validation_loss_policy;validation_loss_value;validation_accuracy_policy;validation_accuracy_value
0;1578219782.768719;1578220044.4733808;Model1498000;0;6.11904239654541;5.8850274085998535;0.23401345312595367;0.007319999858736992;0.6151394844055176;6.119277477264404;5.883702754974365;0.23557507991790771;0.008999999612569809;0.61548912525177
1;1578220046.1487715;1578220298.9101396;Model1498000;0;6.1070966720581055;5.882863521575928;0.22423163056373596;0.009600000455975533;0.6413043737411499;6.121525287628174;5.882506370544434;0.23902037739753723;0.009580000303685665;0.611892580986023
2;1578220300.0872455;1578220549.4814734;Model1498000;0;6.090814590454102;5.880974769592285;0.20984013378620148;0.011889999732375145;0.6753616333007812;6.133409023284912;5.881624698638916;0.25178319215774536;0.011070000007748604;0.5869365334510803
3;1578220550.6178734;1578220807.0348399;Model1488000;0;6.123492240905762;5.887349605560303;0.2361457198858261;0.005109999794512987;0.6097745895385742;6.122574329376221;5.885995864868164;0.23658262193202972;0.0063299997709691525;0.6159786581993103
4;1578220808.26058;1578221058.8532586;Model1488000;0;6.10650110244751;5.883815288543701;0.22268472611904144;0.008919999934732914;0.6412044167518616;6.1334357261657715;5.884368419647217;0.24906954169273376;0.008299999870359898;0.6083559989929199
5;1578221059.4261806;1578221309.763968;Model1488000;0;6.081171035766602;5.881779193878174;0.19939178228378296;0.011429999954998493;0.6874001026153564;6.150780200958252;5.883252143859863;0.26752835512161255;0.009809999726712704;0.5896639227867126
6;1578221311.040168;1578221566.70634;Model1487000;0;6.12512731552124;5.883549690246582;0.24157652258872986;0.009229999966919422;0.5742986798286438;6.130218505859375;5.882203578948975;0.24802424013614655;0.01030999980866909;0.5725004076957703
7;1578221567.2640567;1578221814.8007185;Model1487000;0;6.100138187408447;5.8800859451293945;0.22005769610404968;0.013079999946057796;0.6345008611679077;6.152105331420898;5.880685329437256;0.2714250087738037;0.012260000221431255;0.5413103699684143
8;1578221816.0032208;1578222065.6694233;Model1487000;0;6.062768936157227;5.87626314163208;0.18650607764720917;0.017069999128580093;0.7046135663986206;6.1813130378723145;5.879518985748291;0.3017898499965668;0.013369999825954437;0.516843855381012
9;1578222066.8997917;1578222322.2247927;Model1491000;0;6.124296188354492;5.880213260650635;0.24407872557640076;0.012740000151097775;0.5661565065383911;6.115972518920898;5.8791680335998535;0.23681078851222992;0.013419999741017818;0.6161285042762756
10;1578222323.8334637;1578222573.2827332;Model1491000;0;6.1052117347717285;5.877559185028076;0.2276465743780136;0.01565999910235405;0.6141404509544373;6.125653266906738;5.87705135345459;0.24859941005706787;0.016030000522732735;0.5776954293251038
11;1578222574.4618945;1578222823.8774996;Model1491000;0;6.076133728027344;5.8737993240356445;0.20233765244483948;0.01981000043451786;0.6743426322937012;6.146391868591309;5.876021385192871;0.27036774158477783;0.016930000856518745;0.5656269788742065
12;1578222825.0434358;1578223078.321818;Model1493000;0;6.113975524902344;5.876888751983643;0.2370867282152176;0.01607999950647354;0.5989150404930115;6.106928825378418;5.8711724281311035;0.23575372993946075;0.02201000042259693;0.6257392764091492
13;1578223080.2340748;1578223328.400081;Model1493000;0;6.087634086608887;5.865468502044678;0.22216668725013733;0.02806999906897545;0.634990394115448;6.098277568817139;5.853196144104004;0.24507498741149902;0.041430000215768814;0.603400707244873
14;1578223329.5298605;1578223577.2503145;Model1493000;0;6.0433220863342285;5.842942714691162;0.200382262468338;0.05153999850153923;0.6827046275138855;6.096062660217285;5.837030410766602;0.25903844833374023;0.05821999907493591;0.592870831489563
15;1578223578.5039382;1578223834.4769697;Model1480000;0;6.060023784637451;5.823238372802734;0.2367861568927765;0.07116000354290009;0.6002936959266663;6.037261962890625;5.805344581604004;0.2319146692752838;0.08951999992132187;0.6392862796783447
