epoch;start_time;end_time;data;data_start_index;train_loss;train_loss_policy;train_loss_value;train_accuracy_policy;train_accuracy_value;validation_loss;validation_loss_policy;validation_loss_value;validation_accuracy_policy;validation_accuracy_value
30;1578135298.411607;1578135679.5394669;Model1499000;10000;6.113171577453613;5.8822126388549805;0.2309580296278;0.010900000110268593;0.6337579488754272;6.110147953033447;5.8804707527160645;0.22967441380023956;0.013170000165700912;0.6337571740150452
31;1578135680.0078952;1578136061.0987692;Model1494000;30000;6.125744342803955;5.8805952072143555;0.24514859914779663;0.012000000104308128;0.5739450454711914;6.1142497062683105;5.879748344421387;0.234504833817482;0.01336000021547079;0.6337571740150452
32;1578136061.4967623;1578136441.8898144;Model1483000;0;6.120243072509766;5.87817907333374;0.24206453561782837;0.014800000004470348;0.590664803981781;6.112534046173096;5.878843307495117;0.23369041085243225;0.014790000393986702;0.6337571740150452
33;1578136442.3041606;1578136822.5629048;Model1490000;0;6.122894763946533;5.880117893218994;0.2427779734134674;0.012900000438094139;0.5843949317932129;6.111287593841553;5.878129005432129;0.23315708339214325;0.01655999943614006;0.6337571740150452
34;1578136822.9591506;1578137203.9958746;Model1499000;20000;6.10565185546875;5.877798557281494;0.22785288095474243;0.01549999974668026;0.6392316818237305;6.10609245300293;5.877306938171387;0.2287924736738205;0.0163199994713068;0.633847177028656
35;1578137204.3803322;1578137585.0376666;Model1492000;0;6.12016487121582;5.879733562469482;0.24043165147304535;0.013899999670684338;0.6009156107902527;6.1090803146362305;5.8767008781433105;0.23238137364387512;0.01720999926328659;0.6337571740150452
36;1578137585.5050151;1578137966.4359076;Model1479000;0;6.122837543487549;5.878382205963135;0.2444564402103424;0.01510000042617321;0.574542224407196;6.111085891723633;5.876546859741211;0.2345399707555771;0.017640000209212303;0.6337571740150452
37;1578137966.837629;1578138347.6252627;Model1484000;20000;6.116706371307373;5.879911422729492;0.2367939054965973;0.013199999928474426;0.6174362897872925;6.108822822570801;5.877264976501465;0.23156560957431793;0.016039999201893806;0.6337571740150452
38;1578138347.6314032;1578138727.6812866;Model1488000;0;6.116486549377441;5.8766350746154785;0.23985305428504944;0.016499999910593033;0.6015127301216125;6.107918739318848;5.875331878662109;0.23259086906909943;0.018789999186992645;0.6337571740150452
39;1578138728.073976;1578139109.1406887;Model1491000;10000;6.119348526000977;5.873151779174805;0.2461968958377838;0.020899999886751175;0.5630971193313599;6.111749172210693;5.873981475830078;0.23776331543922424;0.020179999992251396;0.6337571740150452
40;1578139109.5379632;1578139490.0519993;Model1495000;10000;6.111462116241455;5.871176719665527;0.24028557538986206;0.024000000208616257;0.6003184914588928;6.098877906799316;5.865365505218506;0.23352156579494476;0.030649999156594276;0.6337571740150452
41;1578139490.4695678;1578139870.9330075;Model1495000;20000;6.10394811630249;5.862580299377441;0.24136552214622498;0.03290000185370445;0.5933519005775452;6.092769145965576;5.858958721160889;0.23381611704826355;0.03677000105381012;0.6337571740150452
42;1578139871.403729;1578140252.5848475;Model1487000;20000;6.101430892944336;5.854854583740234;0.24657590687274933;0.040699999779462814;0.5608081221580505;6.081187725067139;5.844680309295654;0.23651017248630524;0.05178000032901764;0.6337571740150452
43;1578140253.000616;1578140633.2060351;Model1492000;10000;6.077808380126953;5.8401594161987305;0.23765124380588531;0.05550000071525574;0.6123606562614441;6.068496227264404;5.836306095123291;0.23219285905361176;0.05974999815225601;0.6337571740150452
44;1578140633.6066148;1578141014.491876;Model1495000;30000;6.0685133934021;5.82781457901001;0.24069984257221222;0.06889999657869339;0.5974323153495789;6.052313804626465;5.819031715393066;0.23328660428524017;0.07801000028848648;0.6337571740150452
45;1578141014.885906;1578141396.1554708;Model1476000;10000;6.05941104888916;5.822053909301758;0.2373582124710083;0.07400000095367432;0.6130573153495789;6.047309398651123;5.814820289611816;0.23249682784080505;0.08145000040531158;0.6337571740150452
46;1578141396.5530849;1578141777.5259044;Model1491000;20000;6.058614730834961;5.813075542449951;0.24553775787353516;0.08309999853372574;0.5689689517021179;6.08666467666626;5.850398540496826;0.23626741766929626;0.044280000030994415;0.6337571740150452
47;1578141777.531838;1578142158.8673215;Model1489000;10000;6.04912805557251;5.803258895874023;0.2458684891462326;0.09179999679327011;0.5646895170211792;6.034002304077148;5.797296524047852;0.23670372366905212;0.10268999636173248;0.6337571740150452
48;1578142159.274873;1578142539.9307308;Model1470000;0;6.033975601196289;5.796669006347656;0.2373041808605194;0.09839999675750732;0.6147491931915283;6.018711566925049;5.786036491394043;0.23267862200737;0.1113400012254715;0.6337571740150452
49;1578142540.317511;1578142921.513356;Model1490000;10000;6.034578323364258;5.791165351867676;0.2434130311012268;0.10509999841451645;0.5820063948631287;6.01312255859375;5.777903079986572;0.23521439731121063;0.12037999927997589;0.6337571740150452
50;1578142921.9011602;1578143302.9372082;Model1487000;30000;6.020054340362549;5.774522304534912;0.2455311119556427;0.12409999966621399;0.5673766136169434;6.008377552032471;5.772190570831299;0.23618654906749725;0.12530000507831573;0.6337571740150452
51;1578143303.32272;1578143684.049414;Model1496000;20000;6.012487888336182;5.772656440734863;0.23983220756053925;0.1242000013589859;0.6025079488754272;6.003026008605957;5.769511699676514;0.23351313173770905;0.13041000068187714;0.6337571740150452
52;1578143684.4253142;1578144065.6034853;Model1495000;40000;6.009504795074463;5.769101619720459;0.2404041439294815;0.12759999930858612;0.5982285141944885;5.999423980712891;5.765941143035889;0.23348085582256317;0.13309000432491302;0.6337571740150452
53;1578144066.0770512;1578144447.147926;Model1468000;0;5.990523815155029;5.762442588806152;0.22808218002319336;0.1339000016450882;0.6502786874771118;5.988009929656982;5.7556023597717285;0.2324051856994629;0.14262999594211578;0.6337571740150452
54;1578144447.5468578;1578144828.3928757;Model1493000;30000;5.992602825164795;5.751514911651611;0.24109087884426117;0.14579999446868896;0.5953423380851746;5.982171535491943;5.747452259063721;0.2347283661365509;0.15259000658988953;0.6337571740150452
55;1578144828.7827713;1578145209.8524528;Model1497000;20000;5.980314254760742;5.742574214935303;0.2377413660287857;0.15440000593662262;0.6117635369300842;5.987820625305176;5.75529146194458;0.23253408074378967;0.13936999440193176;0.6337571740150452
56;1578145209.858523;1578145591.1889124;Model1490000;20000;5.980981826782227;5.738345623016357;0.24263547360897064;0.15860000252723694;0.5862858295440674;5.970819473266602;5.735662937164307;0.23515574634075165;0.16082000732421875;0.6337571740150452
57;1578145591.576768;1578145971.712779;Model1490000;30000;5.981001377105713;5.737766742706299;0.243238627910614;0.15860000252723694;0.5825039744377136;5.962851047515869;5.7283711433410645;0.23448222875595093;0.16773000359535217;0.6337571740150452
58;1578145972.0994682;1578146352.8594284;Model1492000;20000;5.968371868133545;5.728414535522461;0.23995548486709595;0.1687999963760376;0.6007165312767029;5.963146686553955;5.7299628257751465;0.2331886738538742;0.16805000603199005;0.6337571740150452
59;1578146353.2479732;1578146733.962299;Model1496000;30000;5.96864128112793;5.728381633758545;0.24026018381118774;0.16830000281333923;0.5989251732826233;5.950822830200195;5.717491626739502;0.2333279401063919;0.17834000289440155;0.6337571740150452
60;1578146734.3619876;1578147114.8160453;Model1471000;0;5.961126327514648;5.720285415649414;0.24083690345287323;0.17730000615119934;0.5961385369300842;6.0094733238220215;5.775730609893799;0.2337430715560913;0.12159000337123871;0.6337571740150452
61;1578147114.8225842;1578147495.9478087;Model1488000;10000;5.957034587860107;5.719674587249756;0.2373610883951187;0.17630000412464142;0.6130573153495789;5.951462268829346;5.7184882164001465;0.2329803705215454;0.17679999768733978;0.6337571740150452
62;1578147495.9539711;1578147876.8807964;Model1487000;40000;5.960239410400391;5.713738441467285;0.24649938941001892;0.18170000612735748;0.5616043210029602;5.944973945617676;5.707920551300049;0.23704908788204193;0.18870000541210175;0.6337571740150452
63;1578147877.2833693;1578148257.9831157;Model1476000;20000;5.939880847930908;5.704448223114014;0.2354297935962677;0.19249999523162842;0.625;5.946621894836426;5.714258193969727;0.23236402869224548;0.18104000389575958;0.6337571740150452
64;1578148257.989043;1578148638.6089826;Model1477000;0;5.9472174644470215;5.710341930389404;0.2368745058774948;0.1850000023841858;0.6147491931915283;5.933187007904053;5.700920104980469;0.23226810991764069;0.1940000057220459;0.6337571740150452
65;1578148638.9961703;1578149019.942611;Model1478000;10000;5.951193332672119;5.710771560668945;0.24042180180549622;0.18610000610351562;0.5985270738601685;5.935008525848389;5.701449871063232;0.23355436325073242;0.19623999297618866;0.6337571740150452
66;1578149020.329719;1578149401.425328;Model1484000;30000;5.939402103424072;5.7002763748168945;0.239122211933136;0.19329999387264252;0.6045979261398315;5.931014537811279;5.697739124298096;0.2332758605480194;0.19773000478744507;0.6337571740150452
67;1578149401.8324609;1578149782.9712195;Model1497000;30000;5.936590671539307;5.698678493499756;0.23791229724884033;0.1981000006198883;0.6104697585105896;5.93523645401001;5.702595233917236;0.23264719545841217;0.1921599954366684;0.6337571740150452
68;1578149782.9771638;1578150163.638235;Model1473000;0;5.941525459289551;5.697834491729736;0.24369141459465027;0.19859999418258667;0.5805135369300842;5.930922031402588;5.695916652679443;0.2350083738565445;0.19931000471115112;0.6337571740150452
69;1578150164.0445244;1578150545.1636353;Model1497000;40000;5.943436145782471;5.704873085021973;0.23856346309185028;0.19089999794960022;0.6082802414894104;5.9207892417907715;5.687653541564941;0.23313315212726593;0.20816999673843384;0.6337571740150452
70;1578150545.557394;1578150926.5850818;Model1498000;20000;5.924920558929443;5.685863494873047;0.2390560507774353;0.21089999377727509;0.6047969460487366;5.919179439544678;5.686338424682617;0.23283979296684265;0.21070000529289246;0.6337571740150452
71;1578150926.9813242;1578151307.9911256;Model1491000;30000;5.943905353546143;5.696514129638672;0.24739205837249756;0.19850000739097595;0.5564291477203369;5.924533367156982;5.687266826629639;0.23726128041744232;0.210099995136261;0.6337571740150452
72;1578151307.9971304;1578151688.8523338;Model1499000;30000;5.924160480499268;5.691428184509277;0.2327350229024887;0.2037999927997589;0.6361464858055115;5.923598289489746;5.692370414733887;0.23123258352279663;0.20422999560832977;0.6337571740150452
73;1578151688.8582218;1578152070.249229;Model1491000;40000;5.935678005218506;5.688274383544922;0.24740459024906158;0.20679999887943268;0.5551353693008423;5.941982746124268;5.703603744506836;0.23838865756988525;0.19193999469280243;0.6336871981620789
74;1578152070.255646;1578152451.3791575;Model1498000;30000;5.927006721496582;5.687732219696045;0.23927076160907745;0.20810000598430634;0.5986266136169434;5.918560981750488;5.687192440032959;0.2313685417175293;0.20819999277591705;0.6336572170257568
75;1578152451.3851964;1578152832.0884035;Model1482000;10000;5.925693988800049;5.690872669219971;0.23482279479503632;0.20509999990463257;0.6257961988449097;5.915118217468262;5.683610439300537;0.23150400817394257;0.21185000240802765;0.6337571740150452
