epoch;start_time;end_time;data;train_loss;train_loss_policy;train_loss_value;train_accuracy_policy;train_accuracy_value
0;1578448833.868234;1578448950.0468192;Model1495000;6.125640869140625;5.886385440826416;0.23925530910491943;0.005840000230818987;0.6012427806854248
1;1578448950.7312524;1578449059.955547;Model1498000;6.116597652435303;5.884728908538818;0.23187066614627838;0.007910000160336494;0.6187759637832642
2;1578449062.6881654;1578449170.7914202;Model1483000;6.125607013702393;5.884598255157471;0.2410041242837906;0.007860000245273113;0.5847286581993103
3;1578449172.181838;1578449279.1557548;Model1498000;6.109656810760498;5.883368968963623;0.22628609836101532;0.009449999779462814;0.6355898380279541
4;1578449281.809147;1578449389.9027612;Model1485000;6.12485933303833;5.884418487548828;0.24043738842010498;0.008379999548196793;0.5869864821434021
5;1578449390.765203;1578449498.8774385;Model1489000;6.127998352050781;5.88360595703125;0.24438872933387756;0.009379999712109566;0.5674152970314026
6;1578449499.5821443;1578449607.6790419;Model1471000;6.1200337409973145;5.881131172180176;0.23890000581741333;0.011939999647438526;0.5968170762062073
7;1578449608.9718168;1578449715.4601295;Model1489000;6.121706962585449;5.881468296051025;0.2402333766222;0.011549999937415123;0.5812320113182068
8;1578449716.1783078;1578449823.8643253;Model1479000;6.1167402267456055;5.878042221069336;0.2387012541294098;0.01561999972909689;0.5912424325942993
9;1578449825.3221598;1578449933.8179884;Model1497000;6.091098308563232;5.861535549163818;0.22956272959709167;0.03280999884009361;0.6245604157447815
10;1578449935.9231646;1578450043.6666703;Model1478000;6.085486888885498;5.851415157318115;0.2340734302997589;0.04315999895334244;0.6096047759056091
11;1578450047.0449772;1578450155.19013;Model1486000;6.073602676391602;5.839528560638428;0.2340722233057022;0.05511000007390976;0.6080662608146667
12;1578450157.32311;1578450263.558875;Model1479000;6.05776834487915;5.822026252746582;0.2357441484928131;0.07319000363349915;0.5980058908462524
13;1578450265.700043;1578450373.2445765;Model1496000;6.037731170654297;5.804355144500732;0.23337186872959137;0.09102000296115875;0.6122622489929199
14;1578450375.2238622;1578450482.9286144;Model1484000;6.019937038421631;5.787916660308838;0.23201864957809448;0.10785000026226044;0.6183963418006897
