epoch;start_time;end_time;data;train_loss;train_loss_policy;train_loss_value;train_accuracy_policy;train_accuracy_value
0;1578468034.2174423;1578468105.2069476;Model1483000;5.797243595123291;5.614233493804932;0.18301896750926971;0.2801699936389923;0.7117967009544373
1;1578468113.5482256;1578468178.1409528;Model1498000;5.81965446472168;5.60581111907959;0.2138439416885376;0.28870999813079834;0.6637328267097473
2;1578468179.2413132;1578468243.0162265;Model1496000;5.771138668060303;5.606159210205078;0.16498585045337677;0.2881399989128113;0.7496503591537476
3;1578468244.597534;1578468308.2052255;Model1490000;5.808980464935303;5.610714912414551;0.19825683534145355;0.2837199866771698;0.6849324703216553
4;1578468308.7646437;1578468371.8475347;Model1471000;5.838032245635986;5.605055332183838;0.23297113180160522;0.28929001092910767;0.6139705777168274
5;1578468373.7471118;1578468437.0739243;Model1485000;5.8389787673950195;5.609820365905762;0.22915704548358917;0.2845900058746338;0.6143901944160461
6;1578468437.6704884;1578468500.829615;Model1497000;5.821896076202393;5.604000091552734;0.21789172291755676;0.29010000824928284;0.6504655480384827
7;1578468501.8839445;1578468565.0066752;Model1498000;5.794397354125977;5.5948076248168945;0.199590265750885;0.2995699942111969;0.6918758153915405
8;1578468566.2158103;1578468629.2404287;Model1489000;5.8446221351623535;5.607461929321289;0.23715615272521973;0.28685998916625977;0.5861473083496094
9;1578468629.8131287;1578468692.5223827;Model1491000;5.835623264312744;5.605951309204102;0.22966992855072021;0.28819000720977783;0.603740394115448
10;1578468693.085085;1578468755.5169299;Model1479000;5.836894512176514;5.6026177406311035;0.23427347838878632;0.29162999987602234;0.595897912979126
11;1578468756.1099765;1578468818.2714345;Model1470000;5.826420307159424;5.5985636711120605;0.2278594821691513;0.29572999477386475;0.6324129104614258
12;1578468818.8792295;1578468881.4510903;Model1494000;5.840713024139404;5.604705333709717;0.23600372672080994;0.28929999470710754;0.5922614336013794
13;1578468882.0938969;1578468943.734318;Model1490000;5.787194728851318;5.601568222045898;0.18562422692775726;0.29267001152038574;0.7071711421012878
14;1578468944.3665369;1578469005.7926924;Model1492000;5.81014347076416;5.598832607269287;0.21130932867527008;0.29565998911857605;0.6617946624755859
15;1578469006.3180852;1578469067.9884024;Model1487000;5.836296081542969;5.601023197174072;0.23527489602565765;0.29350000619888306;0.5847685933113098
16;1578469068.581854;1578469129.4829223;Model1496000;5.75883674621582;5.599748611450195;0.1590946614742279;0.29469001293182373;0.7590413093566895
