epoch;start_time;end_time;data;train_loss;train_loss_policy;train_loss_value;train_accuracy_policy;train_accuracy_value
0;1578514223.2591143;1578514307.8002152;Model1482000;5.918146133422852;5.559039115905762;0.35910433530807495;0.3348599970340729;0.6431925296783447
1;1578514313.9328609;1578514394.5104127;Model1478000;5.950162410736084;5.5622382164001465;0.3879222869873047;0.33177000284194946;0.612492024898529
2;1578514395.2701764;1578514473.5123286;Model1472000;5.928431987762451;5.5640153884887695;0.36441341042518616;0.329910010099411;0.6357097029685974
3;1578514474.1993167;1578514552.7136965;Model1498000;5.866206645965576;5.557186126708984;0.30901846289634705;0.3370400071144104;0.6937839388847351
4;1578514555.8234923;1578514633.3360248;Model1478000;5.940211772918701;5.560605049133301;0.3796115219593048;0.33348000049591064;0.6207441091537476
5;1578514634.0665522;1578514712.1061428;Model1491000;5.984247207641602;5.565788269042969;0.4184585511684418;0.32839998602867126;0.5816116333007812
6;1578514712.8535411;1578514790.7993534;Model1492000;5.868331432342529;5.562493801116943;0.3058328330516815;0.33145999908447266;0.6963714957237244
7;1578514792.2532568;1578514870.6725385;Model1475000;5.992839336395264;5.560728549957275;0.43210887908935547;0.33344998955726624;0.568134605884552
8;1578514871.4750905;1578514948.6758606;Model1488000;5.893377304077148;5.566071033477783;0.3273007273674011;0.32795000076293945;0.6739829778671265
9;1578514949.4138734;1578515026.1651888;Model1499000;5.864719867706299;5.558563709259033;0.30615881085395813;0.3354400098323822;0.6945931911468506
10;1578515027.6992826;1578515104.468974;Model1477000;5.926542282104492;5.55676794052124;0.3697770833969116;0.3371399939060211;0.6304747462272644
11;1578515106.0476067;1578515181.9795465;Model1491000;5.976022243499756;5.563202381134033;0.412818044424057;0.33083000779151917;0.5875059962272644
12;1578515182.7496383;1578515258.3141296;Model1488000;5.883794784545898;5.566165447235107;0.31762659549713135;0.32791000604629517;0.68308424949646
13;1578515259.1218503;1578515336.3192875;Model1486000;5.9505438804626465;5.567081451416016;0.38345953822135925;0.32701998949050903;0.6167678833007812
14;1578515337.1837397;1578515415.347758;Model1490000;5.900932788848877;5.5619797706604;0.338948518037796;0.331930011510849;0.6617746949195862
15;1578515416.0746675;1578515491.4682584;Model1498000;5.863374710083008;5.5553460121154785;0.30803197622299194;0.33849000930786133;0.6922654509544373
16;1578515493.663556;1578515570.623241;Model1489000;5.981847286224365;5.566288948059082;0.4155566394329071;0.32795000076293945;0.5844789147377014
17;1578515571.4406843;1578515647.2012231;Model1486000;5.945671558380127;5.566587924957275;0.37908631563186646;0.327349990606308;0.6210238337516785
18;1578515647.9651172;1578515726.4809911;Model1495000;5.947073936462402;5.563398361206055;0.38367959856987;0.3305799961090088;0.616278350353241
19;1578515727.1890173;1578515803.1070747;Model1473000;5.970549583435059;5.560697555541992;0.40985196828842163;0.33337000012397766;0.5902233719825745
20;1578515803.834981;1578515878.680332;Model1473000;5.965362071990967;5.562595367431641;0.40277212858200073;0.3312999904155731;0.597176730632782
21;1578515879.5259235;1578515956.2380357;Model1487000;5.9827141761779785;5.568249702453613;0.4144658148288727;0.3256799876689911;0.585457980632782
22;1578515957.1040707;1578516033.666888;Model1479000;5.969339370727539;5.5615692138671875;0.4077744781970978;0.3322699964046478;0.5922714471817017
23;1578516034.50295;1578516109.2244744;Model1479000;5.960092067718506;5.5645880699157715;0.39550790190696716;0.32934001088142395;0.6046095490455627
24;1578516110.1999218;1578516185.9498005;Model1488000;5.902192115783691;5.567818641662598;0.33437490463256836;0.3259899914264679;0.6657808423042297
25;1578516186.7081726;1578516262.457519;Model1486000;5.942872524261475;5.567259788513184;0.37561607360839844;0.32677000761032104;0.6246203780174255
26;1578516263.209096;1578516339.7602487;Model1493000;5.9057745933532715;5.561249732971191;0.3445233702659607;0.33278000354766846;0.6556905508041382
27;1578516341.5716887;1578516416.8557978;Model1482000;5.923424243927002;5.561420440673828;0.36200669407844543;0.3324500024318695;0.6380274891853333
28;1578516417.699802;1578516493.6572425;Model1478000;5.946266174316406;5.559910774230957;0.3863576650619507;0.333869993686676;0.6137108206748962
29;1578516494.3709207;1578516570.1475394;Model1482000;5.9171552658081055;5.561750888824463;0.35540249943733215;0.33215001225471497;0.644471287727356
30;1578516571.0411098;1578516648.0715218;Model1471000;5.959700107574463;5.562335968017578;0.3973616659641266;0.3315500020980835;0.6025915145874023
31;1578516648.873301;1578516724.7769578;Model1488000;5.887548446655273;5.560133457183838;0.3274139165878296;0.33392998576164246;0.6728540658950806
32;1578516725.689823;1578516802.8551576;Model1494000;5.956068992614746;5.566343784332275;0.3897291123867035;0.3276900053024292;0.6102342009544373
33;1578516803.6112123;1578516880.0152252;Model1478000;5.945718288421631;5.56018590927124;0.3855343759059906;0.3335300087928772;0.6143801808357239
34;1578516880.7800398;1578516956.8984323;Model1491000;5.982730388641357;5.565706729888916;0.4170229732990265;0.3283199965953827;0.5830702781677246
35;1578516957.7233162;1578517034.1482558;Model1496000;5.923518657684326;5.565386772155762;0.35813388228416443;0.3284299969673157;0.6420636177062988
36;1578517034.8834703;1578517110.7059546;Model1475000;5.9913716316223145;5.558117389678955;0.4332539141178131;0.33574000000953674;0.5668058395385742
37;1578517111.5579715;1578517188.1990612;Model1496000;5.895425796508789;5.560732364654541;0.3347012400627136;0.333189994096756;0.6655910611152649
38;1578517188.9659996;1578517265.1035633;Model1472000;5.925099849700928;5.56063985824585;0.3644632399082184;0.3333300054073334;0.6355099081993103
39;1578517265.9375532;1578517343.1330009;Model1483000;5.951452732086182;5.561244487762451;0.3902064561843872;0.3329299986362457;0.6096047759056091
40;1578517343.950681;1578517420.530296;Model1499000;5.886083602905273;5.5536346435546875;0.33244436979293823;0.34029000997543335;0.6677089929580688
41;1578517422.1352592;1578517499.889861;Model1484000;5.946839332580566;5.561729907989502;0.38510921597480774;0.3321099877357483;0.6147997975349426
42;1578517500.6006293;1578517577.0686727;Model1472000;5.927817344665527;5.559628486633301;0.3681817054748535;0.33441999554634094;0.6318134665489197
43;1578517577.849356;1578517654.2848089;Model1490000;5.92118501663208;5.560610771179199;0.3605726659297943;0.33344000577926636;0.6396059989929199
44;1578517655.0490582;1578517731.6860251;Model1495000;5.9448161125183105;5.5622735023498535;0.3825417757034302;0.3316900134086609;0.6174972057342529
45;1578517732.421571;1578517809.3886487;Model1488000;5.889233112335205;5.563362121582031;0.3258688151836395;0.33066999912261963;0.674392580986023
46;1578517810.137426;1578517885.2355287;Model1487000;5.96060848236084;5.564362049102783;0.3962436616420746;0.3294999897480011;0.6040101647377014
47;1578517885.9765196;1578517960.4249878;Model1484000;5.944997787475586;5.561464309692383;0.3835328221321106;0.3323900103569031;0.6164681911468506
48;1578517961.1251678;1578518035.8092606;Model1492000;5.916705131530762;5.563125133514404;0.3535745143890381;0.331059992313385;0.646599292755127
