epoch;start_time;end_time;data;data_start_index;train_loss;train_loss_policy;train_loss_value;train_accuracy_policy;train_accuracy_value;validation_loss;validation_loss_policy;validation_loss_value;validation_accuracy_policy;validation_accuracy_value
0;1578352817.5140808;1578353074.5001154;Model1490000;0;6.129408359527588;5.88617467880249;0.24322792887687683;0.005330000072717667;0.5819613337516785;6.1215314865112305;5.885196685791016;0.2363376021385193;0.006599999964237213;0.6267783045768738
1;1578353076.4134219;1578353325.6759932;Model1490000;0;6.118985176086426;5.884934902191162;0.2340451031923294;0.006949999835342169;0.6062780022621155;6.132528305053711;5.88489294052124;0.24763619899749756;0.007569999899715185;0.5787544250488281
2;1578353326.9702682;1578353575.7929032;Model1490000;0;6.10020112991333;5.884303569793701;0.21590249240398407;0.007499999832361937;0.6523537635803223;6.145226001739502;5.883709907531738;0.2615157663822174;0.008030000142753124;0.5814318060874939
3;1578353576.943432;1578353831.6252782;Model1484000;0;6.113977909088135;5.882986545562744;0.23099225759506226;0.009229999966919422;0.6243006587028503;6.125004291534424;5.882876873016357;0.2421233355998993;0.0094200000166893;0.6170076727867126
4;1578353832.8461795;1578354080.3354566;Model1484000;0;6.0898566246032715;5.8807902336120605;0.20907221734523773;0.011620000004768372;0.6711956262588501;6.1341938972473145;5.882009983062744;0.25218164920806885;0.010619999840855598;0.6087755560874939
5;1578354081.4646518;1578354327.9087822;Model1484000;0;6.060416221618652;5.878655433654785;0.18176034092903137;0.014209999702870846;0.7241148352622986;6.153569221496582;5.880831718444824;0.2727353870868683;0.011939999647438526;0.5778852105140686
6;1578354329.246063;1578354580.6972618;Model1476000;0;6.105932235717773;5.877839088439941;0.22808802127838135;0.014870000071823597;0.6347206830978394;6.124174118041992;5.880224227905273;0.2439507097005844;0.012330000288784504;0.6030410528182983
7;1578354581.8755107;1578354826.7313483;Model1476000;0;6.0727643966674805;5.875172138214111;0.19758623838424683;0.01768999919295311;0.6993586421012878;6.141733169555664;5.877955436706543;0.2637825608253479;0.014709999784827232;0.5900835394859314
8;1578354828.0007286;1578355074.319535;Model1476000;0;6.040848255157471;5.872578144073486;0.16826409101486206;0.021080000326037407;0.7498301863670349;6.148895740509033;5.876200199127197;0.27269187569618225;0.016610000282526016;0.5952485799789429
9;1578355077.1967473;1578355330.8934293;Model1499000;0;6.092827796936035;5.873071670532227;0.21975497901439667;0.019500000402331352;0.6588674783706665;6.085476875305176;5.872467517852783;0.21301200985908508;0.020549999549984932;0.6716152429580688
10;1578355332.7558675;1578355578.969375;Model1499000;0;6.05499792098999;5.869495391845703;0.18550066649913788;0.023569999262690544;0.7252837419509888;6.060784816741943;5.868523597717285;0.19226019084453583;0.024819999933242798;0.7150735259056091
