epoch;start_time;end_time;data;data_start_index;train_loss;train_loss_policy;train_loss_value;train_accuracy_policy;validation_loss;validation_loss_policy;validation_loss_value;validation_accuracy_policy
24;1577386296.538847;1577386517.3169658;Model1497000;100000;6.05687952041626;5.83076286315918;0.22613923251628876;0.06287000328302383;6.055647850036621;5.828184127807617;0.2274855226278305;0.06560999900102615
25;1577386517.3219314;1577386737.1078906;Model1473000;100000;6.0658793449401855;5.831048488616943;0.23485805094242096;0.06262999773025513;6.061516761779785;5.828041076660156;0.23349130153656006;0.065700002014637
26;1577386737.1127346;1577386956.9180837;Model1469000;100000;6.054254531860352;5.829312801361084;0.22496388852596283;0.0643099993467331;6.0870490074157715;5.857354164123535;0.229727640748024;0.036240000277757645
27;1577386956.9230928;1577387176.5725324;Model1475000;0;6.070003032684326;5.829177379608154;0.2408512830734253;0.06426999717950821;6.057053565979004;5.829037189483643;0.228042334318161;0.06445000320672989
28;1577387176.5774202;1577387396.3569195;Model1478000;0;6.0623979568481445;5.829901218414307;0.2325180172920227;0.06357000023126602;6.058419227600098;5.82823371887207;0.23020587861537933;0.065420001745224
29;1577387396.3616893;1577387616.428027;Model1491000;100000;6.070797920227051;5.831805229187012;0.2390231043100357;0.061739999800920486;6.056001663208008;5.8271870613098145;0.22881558537483215;0.06639000028371811
30;1577387616.4333994;1577387836.5147336;Model1494000;0;6.068506240844727;5.83075475692749;0.23777596652507782;0.06285999715328217;6.054093837738037;5.822619438171387;0.23148658871650696;0.07114999741315842
31;1577387836.5197015;1577388056.280606;Model1466000;100000;6.050092697143555;5.823166370391846;0.2269497662782669;0.07055000215768814;6.061237335205078;5.836774826049805;0.2244659662246704;0.05688999965786934
32;1577388056.2862868;1577388276.074556;Model1473000;200000;6.06095552444458;5.826660633087158;0.23431839048862457;0.06701000034809113;6.051093101501465;5.8231120109558105;0.22800934314727783;0.07055000215768814
33;1577388276.0790322;1577388495.7517126;Model1474000;100000;6.048678874969482;5.82520866394043;0.22349129617214203;0.06835000216960907;6.0551347732543945;5.825610637664795;0.2295239418745041;0.06801000237464905
34;1577388495.7562208;1577388715.611237;Model1475000;100000;6.06646203994751;5.826340675354004;0.24013462662696838;0.06729999929666519;6.054535865783691;5.824156284332275;0.23040148615837097;0.06932999938726425
35;1577388715.6164393;1577388935.3028376;Model1484000;0;6.0601019859313965;5.829476833343506;0.23064583539962769;0.06414999812841415;6.052565574645996;5.826796531677246;0.22578129172325134;0.06672000139951706
36;1577388935.3073432;1577389155.235698;Model1480000;0;6.061702251434326;5.82667350769043;0.235044926404953;0.06693000346422195;6.053051948547363;5.824073791503906;0.22898444533348083;0.06947000324726105
37;1577389155.2407963;1577389374.9507787;Model1479000;100000;6.062473297119141;5.826947212219238;0.2355356514453888;0.06663999706506729;6.054268836975098;5.822789192199707;0.23149099946022034;0.07067999988794327
38;1577389374.956233;1577389594.75284;Model1469000;200000;6.044177055358887;5.820547580718994;0.2236652821302414;0.07294999808073044;6.112606525421143;5.820926189422607;0.2917158603668213;0.07254999876022339
39;1577389594.76457;1577389814.3979747;Model1490000;200000;6.065232276916504;5.830414295196533;0.23483414947986603;0.06317999958992004;6.057582855224609;5.829979419708252;0.22761687636375427;0.06439000368118286
40;1577389814.4027212;1577390034.1633866;Model1487000;100000;6.066076278686523;5.828857421875;0.23724716901779175;0.06465999782085419;6.0533928871154785;5.822514057159424;0.23090000450611115;0.07092999666929245
41;1577390034.168326;1577390253.6048887;Model1495000;200000;6.058846950531006;5.8256120681762695;0.23325572907924652;0.06801000237464905;6.058005332946777;5.828364849090576;0.2296421229839325;0.06526000052690506
42;1577390253.6093748;1577390473.6215043;Model1466000;200000;6.047962188720703;5.820850372314453;0.22713309526443481;0.0727199986577034;6.045055389404297;5.819412708282471;0.22566018998622894;0.07412999868392944
43;1577390473.6267521;1577390693.3495138;Model1477000;0;6.050296306610107;5.8211565017700195;0.22917066514492035;0.07232999801635742;6.045153617858887;5.820736885070801;0.22442980110645294;0.07291000336408615
44;1577390693.354332;1577390913.4057744;Model1494000;100000;6.056841850280762;5.820159912109375;0.23669905960559845;0.07343000173568726;6.048279762268066;5.816530704498291;0.2317706197500229;0.07711999863386154
45;1577390913.4108634;1577391133.0186617;Model1490000;300000;6.056844711303711;5.822824954986572;0.23404142260551453;0.07073000073432922;6.045950412750244;5.816779136657715;0.22919556498527527;0.07682999968528748
46;1577391133.023876;1577391352.6977367;Model1488000;0;6.053976535797119;5.822765350341797;0.23123696446418762;0.07079000025987625;6.043782711029053;5.818550109863281;0.22525759041309357;0.07502999901771545
47;1577391352.7028432;1577391572.405523;Model1479000;200000;6.0563764572143555;5.8209733963012695;0.23542073369026184;0.0726500004529953;6.042813301086426;5.816462516784668;0.22637417912483215;0.07694999873638153
48;1577391572.4101086;1577391792.1035507;Model1489000;0;6.061247825622559;5.82240104675293;0.2388741672039032;0.07123000174760818;6.046250343322754;5.819692611694336;0.22656652331352234;0.07387000322341919
49;1577391792.108751;1577392012.0208437;Model1477000;100000;6.045363426208496;5.81824254989624;0.2271331399679184;0.07537999749183655;6.044307231903076;5.818904876708984;0.2254304736852646;0.07467000186443329
50;1577392012.0259395;1577392231.7662868;Model1499000;0;6.038534641265869;5.816884994506836;0.22165125608444214;0.07665999978780746;6.033104419708252;5.815747261047363;0.21737244725227356;0.07777000218629837
51;1577392231.770868;1577392451.5213816;Model1487000;200000;6.056723594665527;5.819854736328125;0.2368960827589035;0.07377000153064728;6.041044235229492;5.8127593994140625;0.22828955948352814;0.08100000023841858
52;1577392451.5261245;1577392671.23607;Model1491000;200000;6.058305740356445;5.819040298461914;0.23929040133953094;0.07464999705553055;6.039437294006348;5.814340114593506;0.2250968962907791;0.0792199969291687
53;1577392671.241574;1577392891.1235986;Model1480000;100000;6.048773765563965;5.8142499923706055;0.234543576836586;0.07938999682664871;6.0367655754089355;5.812922477722168;0.22386696934700012;0.08071000128984451
54;1577392891.1283836;1577393110.899006;Model1468000;200000;6.031036853790283;5.811716556549072;0.21934404969215393;0.0820700004696846;6.031221389770508;5.810222148895264;0.22102351486682892;0.08337999880313873
55;1577393110.904738;1577393332.0338497;Model1492000;0;6.050270080566406;5.817745208740234;0.23254966735839844;0.07599999755620956;6.037119388580322;5.809144020080566;0.22798298299312592;0.08428999781608582
56;1577393332.0393412;1577393556.9192584;Model1487000;300000;6.052328109741211;5.816651344299316;0.23569270968437195;0.07699000090360641;6.046201229095459;5.813662528991699;0.2325553148984909;0.07992000132799149
57;1577393556.9238513;1577393782.5103905;Model1496000;100000;6.047219753265381;5.8155927658081055;0.23164570331573486;0.07801000028848648;6.032100200653076;5.809443950653076;0.22268462181091309;0.08421999961137772
58;1577393782.5149486;1577394008.0861328;Model1473000;300000;6.047604084014893;5.811758518218994;0.23586609959602356;0.08190000057220459;6.035233497619629;5.808071613311768;0.22717535495758057;0.08556000143289566
59;1577394008.091055;1577394233.174494;Model1489000;100000;6.05045747756958;5.813122272491455;0.23734736442565918;0.0805400013923645;6.033092021942139;5.808074951171875;0.2250310778617859;0.08535999804735184
60;1577394233.1797507;1577394457.8714228;Model1475000;200000;6.047411918640137;5.807458400726318;0.23997211456298828;0.08613000065088272;6.03902006149292;5.806493759155273;0.23251913487911224;0.08705999702215195
61;1577394457.8759131;1577394683.32823;Model1475000;300000;6.041958332061768;5.80496072769165;0.23701341450214386;0.08862999826669693;6.036018371582031;5.807115077972412;0.22890931367874146;0.08656000345945358
62;1577394683.3327856;1577394908.1459322;Model1482000;100000;6.0364484786987305;5.80783224105835;0.22862879931926727;0.08579999953508377;6.028339862823486;5.804715156555176;0.2236410528421402;0.08882000297307968
63;1577394908.1513083;1577395132.4019268;Model1473000;400000;6.038766384124756;5.804548263549805;0.23422756791114807;0.08900000154972076;6.0344557762146;5.803267955780029;0.23121125996112823;0.09031999856233597
64;1577395132.4066596;1577395356.9100566;Model1470000;100000;6.032669544219971;5.803408622741699;0.22927452623844147;0.09027999639511108;6.027353763580322;5.8011794090271;0.2261933535337448;0.09240999817848206
65;1577395356.914519;1577395581.709045;Model1468000;300000;6.0167622566223145;5.798000812530518;0.21878217160701752;0.09564000368118286;6.020399570465088;5.7971649169921875;0.22324912250041962;0.09646999835968018
66;1577395581.7140908;1577395806.4500024;Model1474000;200000;6.023279190063477;5.799558639526367;0.22373633086681366;0.09414999932050705;6.020479679107666;5.79688835144043;0.22361621260643005;0.09657999873161316
67;1577395806.4554331;1577396030.5150225;Model1474000;300000;6.01983118057251;5.798905372619629;0.2209390252828598;0.09472999721765518;6.0242767333984375;5.798660755157471;0.2256401926279068;0.09495999664068222
68;1577396030.5195801;1577396255.1569908;Model1499000;100000;6.017604351043701;5.79672384262085;0.22090552747249603;0.09683000296354294;6.0140299797058105;5.79615592956543;0.21789079904556274;0.09754999727010727
69;1577396255.1616304;1577396478.7094157;Model1492000;100000;6.032538890838623;5.799957752227783;0.23259492218494415;0.0936800017952919;6.022606372833252;5.79776668548584;0.22482293844223022;0.09583999961614609
70;1577396478.7148883;1577396700.5429533;Model1495000;300000;6.031613826751709;5.797782897949219;0.23384231328964233;0.09591999650001526;6.013663291931152;5.791982650756836;0.22170138359069824;0.10179000347852707
71;1577396700.5481532;1577396922.6140747;Model1470000;200000;6.021785736083984;5.794236660003662;0.22756315767765045;0.09940999746322632;6.013012886047363;5.791625499725342;0.22136569023132324;0.10187999904155731
72;1577396922.6194537;1577397144.764028;Model1481000;100000;6.026299476623535;5.795061111450195;0.2312391996383667;0.09855999797582626;6.016451835632324;5.79248571395874;0.2239639312028885;0.10092999786138535
73;1577397144.7694347;1577397366.7939003;Model1474000;400000;6.011398792266846;5.7900214195251465;0.22138993442058563;0.10356999933719635;6.0143046379089355;5.7905659675598145;0.22375765442848206;0.10311000049114227
74;1577397366.7992115;1577397591.1990912;Model1478000;100000;6.023814678192139;5.7913665771484375;0.23245491087436676;0.10224000364542007;6.0161871910095215;5.79217529296875;0.2240181565284729;0.10140000283718109
